0.84432,0.77969,0.81555
0.8701,0.81325,0.83058
0.83686,0.76331,0.82152
0.85064,0.79665,0.80015
0.86682,0.82092,0.79499
0.81158,0.73659,0.8075
0.68439,0.58938,0.83614
0.91871,0.88561,0.85911
0.82199,0.75256,0.81176
0.78821,0.70741,0.79393
0.8582,0.79616,0.8348
0.86552,0.81554,0.81453
0.87613,0.83044,0.81174
0.78915,0.71252,NaN
0.77052,0.68905,0.77587
0.85319,0.79983,0.79604
0.87143,0.81791,0.82677
0.8491,0.79629,0.79214
0.79568,0.71279,0.82811
0.84545,0.78355,0.82023
0.88078,0.829,0.83688
0.87347,0.82156,0.8313
0.76702,0.68408,0.79416
0.90635,0.87068,0.82976
0.86533,0.80464,0.83532
0.82232,0.74307,0.83131
0.85827,0.8016,0.80811
0.80844,0.7314,0.8075
0.86063,0.79732,0.84286
0.8737,0.82377,0.81386
0.88449,0.83213,0.863
0.82751,0.75388,0.80861
0.82255,0.74965,0.79812
0.78195,0.69998,0.81491
0.75079,0.66177,0.81666
0.79229,0.70908,0.83429
0.91457,0.88291,0.85364
0.81507,0.74223,0.81612
0.81361,0.74429,0.79388
0.89968,0.86033,0.82821
0.89129,0.85396,0.82881
0.70581,0.61328,0.8185
0.9138,0.88482,0.84568
0.7981,0.72638,0.76451
0.87061,0.82361,0.80908
0.83497,0.76668,0.82812
0.89454,0.86981,0.81568
0.88164,0.83114,0.8577
0.82469,0.74678,0.8426
0.90342,0.86555,0.84403
0.87374,0.83871,0.79609
0.69328,0.60513,0.79224
0.85397,0.79274,0.80444
0.78518,0.70709,0.78764
0.89505,0.86189,NaN
0.86611,0.8133,0.8241
0.86012,0.8,0.84799
0.73857,0.65356,0.77605
0.8636,0.8088,0.81103
0.85521,0.80247,0.811
0.91352,0.87664,0.85595
0.92102,0.89203,0.84009
0.75859,0.67209,0.82829
0.91218,0.8818,0.82783
0.90736,0.87334,0.86342
0.80189,0.72698,0.79682
0.84748,0.78584,0.80819
0.91024,0.88026,0.84193
NaN,NaN,0.80945
0.83506,0.763,0.83606
0.80229,0.72605,0.78946
0.78785,0.70631,0.80894
0.79054,0.71155,0.791
0.77664,0.69169,0.81787
0.78682,0.70359,0.81321
0.843,0.77654,0.82831
0.88391,0.8407,0.8092
0.76336,0.67872,0.78855
0.81319,0.74163,0.82386
0.80429,0.72688,0.81993
0.82709,0.75877,0.80856
0.84935,0.78367,0.82897
0.77576,0.69316,0.81669
0.8553,0.79387,0.8228
0.80063,0.72276,0.81865
0.85428,0.79848,0.80656
0.80701,0.72935,NaN
0.88323,0.83905,0.83639
0.91701,0.88547,0.85088
0.89305,0.85335,0.83033
0.81527,0.74537,0.77264
0.85218,0.78977,0.83244
0.80336,0.72441,NaN
NaN,NaN,0.8312
0.8698,0.81805,0.81269
0.81273,0.74002,0.80268
0.83781,0.77667,0.78655
0.84698,0.77761,0.84292
0.77663,0.69704,0.78189
0.78538,0.70586,0.79344
0.8798,0.83756,0.81077
0.90958,0.87275,0.84582
0.85798,0.79951,0.80052
0.75544,0.6701,0.79631
0.83996,0.77366,0.80999
0.89302,0.85316,0.82743
0.91095,0.8809,0.84899
0.90304,0.86105,0.861
0.91447,0.88731,0.84523
0.8522,0.79194,0.8115
0.87589,0.81972,0.86464
0.88221,0.83412,0.84037
0.82636,0.7591,0.78905
0.77506,0.69159,0.82133
0.86118,0.79821,0.83537
0.87419,0.82277,NaN
0.84938,0.7904,0.82607
0.77326,0.68881,0.82823
0.89186,0.85889,0.82777
0.82694,0.76945,0.77341
0.80793,0.7336,0.79723
0.86709,0.81269,0.82157
0.84693,0.79095,0.7971
0.83492,0.76851,0.80683
0.83401,0.76475,0.81935
0.80465,0.72718,0.80242
0.76632,0.67984,0.82777
0.87214,0.81117,0.83775
0.85815,0.80711,0.8004
0.81,0.73195,0.82501
0.82863,0.75843,0.82053
0.85548,0.7952,0.85176
0.86973,0.81499,0.831
0.88051,0.82883,0.84008
0.76488,0.68189,0.79346
0.89902,0.87423,0.80509
0.8,0.71812,0.82627
0.89798,0.8518,NaN
0.86462,0.81293,0.81596
0.83118,0.76063,0.81355
0.78661,0.70402,0.81127
0.71372,0.62328,0.81541
0.85792,0.79282,0.83676
0.87044,0.81648,0.82731
0.77757,0.6973,0.79518
0.89161,0.84536,0.84766
0.85064,0.78916,0.80986
0.83717,0.76592,0.85221
0.85364,0.79541,0.81684
0.87862,0.83437,0.81656
0.83195,0.76439,0.80666
0.86953,0.81992,0.81517
0.89377,0.85922,0.83812
0.87378,0.82715,0.82124
0.78091,0.69695,0.81359
0.82878,0.75476,0.83563
0.83484,0.76708,0.81822
0.85799,0.79912,0.81925
0.86044,0.80548,0.81382
0.91087,0.87443,0.85168
0.89594,0.85891,0.81789
0.9091,0.88225,0.8273
0.91151,0.87701,0.8458
0.80002,0.71957,0.83249
0.91134,0.8738,0.86283
0.85,0.7881,0.80767
0.80377,0.72491,0.80507
0.76154,0.67845,0.79526
